0,1,2,3,4  Parity - even
0,1,2,4,3  Parity - Odd
0,1,3,2,4  Parity - Odd
0,1,3,4,2  Parity - even
0,1,4,2,3  Parity - even
0,1,4,3,2  Parity - Odd
0,2,1,3,4  Parity - Odd
0,2,1,4,3  Parity - even
0,2,3,1,4  Parity - even
0,2,3,4,1  Parity - Odd
0,2,4,1,3  Parity - Odd
0,2,4,3,1  Parity - even
0,3,1,2,4  Parity - even
0,3,1,4,2  Parity - Odd
0,3,2,1,4  Parity - Odd
0,3,2,4,1  Parity - even
0,3,4,1,2  Parity - even
0,3,4,2,1  Parity - Odd
0,4,1,2,3  Parity - Odd
0,4,1,3,2  Parity - even
0,4,2,1,3  Parity - even
0,4,2,3,1  Parity - Odd
0,4,3,1,2  Parity - Odd
0,4,3,2,1  Parity - even
1,0,2,3,4  Parity - Odd
1,0,2,4,3  Parity - even
1,0,3,2,4  Parity - even
1,0,3,4,2  Parity - Odd
1,0,4,2,3  Parity - Odd
1,0,4,3,2  Parity - even
1,2,0,3,4  Parity - even
1,2,0,4,3  Parity - Odd
1,2,3,0,4  Parity - Odd
1,2,3,4,0  Parity - even
1,2,4,0,3  Parity - even
1,2,4,3,0  Parity - Odd
1,3,0,2,4  Parity - Odd
1,3,0,4,2  Parity - even
1,3,2,0,4  Parity - even
1,3,2,4,0  Parity - Odd
1,3,4,0,2  Parity - Odd
1,3,4,2,0  Parity - even
1,4,0,2,3  Parity - even
1,4,0,3,2  Parity - Odd
1,4,2,0,3  Parity - Odd
1,4,2,3,0  Parity - even
1,4,3,0,2  Parity - even
1,4,3,2,0  Parity - Odd
2,0,1,3,4  Parity - even
2,0,1,4,3  Parity - Odd
2,0,3,1,4  Parity - Odd
2,0,3,4,1  Parity - even
2,0,4,1,3  Parity - even
2,0,4,3,1  Parity - Odd
2,1,0,3,4  Parity - Odd
2,1,0,4,3  Parity - even
2,1,3,0,4  Parity - even
2,1,3,4,0  Parity - Odd
2,1,4,0,3  Parity - Odd
2,1,4,3,0  Parity - even
2,3,0,1,4  Parity - even
2,3,0,4,1  Parity - Odd
2,3,1,0,4  Parity - Odd
2,3,1,4,0  Parity - even
2,3,4,0,1  Parity - even
2,3,4,1,0  Parity - Odd
2,4,0,1,3  Parity - Odd
2,4,0,3,1  Parity - even
2,4,1,0,3  Parity - even
2,4,1,3,0  Parity - Odd
2,4,3,0,1  Parity - Odd
2,4,3,1,0  Parity - even
3,0,1,2,4  Parity - Odd
3,0,1,4,2  Parity - even
3,0,2,1,4  Parity - even
3,0,2,4,1  Parity - Odd
3,0,4,1,2  Parity - Odd
3,0,4,2,1  Parity - even
3,1,0,2,4  Parity - even
3,1,0,4,2  Parity - Odd
3,1,2,0,4  Parity - Odd
3,1,2,4,0  Parity - even
3,1,4,0,2  Parity - even
3,1,4,2,0  Parity - Odd
3,2,0,1,4  Parity - Odd
3,2,0,4,1  Parity - even
3,2,1,0,4  Parity - even
3,2,1,4,0  Parity - Odd
3,2,4,0,1  Parity - Odd
3,2,4,1,0  Parity - even
3,4,0,1,2  Parity - even
3,4,0,2,1  Parity - Odd
3,4,1,0,2  Parity - Odd
3,4,1,2,0  Parity - even
3,4,2,0,1  Parity - even
3,4,2,1,0  Parity - Odd
4,0,1,2,3  Parity - even
4,0,1,3,2  Parity - Odd
4,0,2,1,3  Parity - Odd
4,0,2,3,1  Parity - even
4,0,3,1,2  Parity - even
4,0,3,2,1  Parity - Odd
4,1,0,2,3  Parity - Odd
4,1,0,3,2  Parity - even
4,1,2,0,3  Parity - even
4,1,2,3,0  Parity - Odd
4,1,3,0,2  Parity - Odd
4,1,3,2,0  Parity - even
4,2,0,1,3  Parity - even
4,2,0,3,1  Parity - Odd
4,2,1,0,3  Parity - Odd
4,2,1,3,0  Parity - even
4,2,3,0,1  Parity - even
4,2,3,1,0  Parity - Odd
4,3,0,1,2  Parity - Odd
4,3,0,2,1  Parity - even
4,3,1,0,2  Parity - even
4,3,1,2,0  Parity - Odd
4,3,2,0,1  Parity - Odd
4,3,2,1,0  Parity - even
